wall_time,phase,striker_x,striker_y
1790053269.866175,1,0.000000,0.447000
1790053270.528820,1,0.000000,0.447000
1790053271.197527,1,0.000000,0.447000
1790053271.748171,1,0.000000,0.447000
1790053272.412257,1,0.000000,0.447000
1790053273.025112,1,0.000000,0.447000
1790053273.651086,1,0.000000,0.447000
1790053274.299310,1,0.000000,0.447000
1790053274.903120,2,0.000000,0.447000
1790053275.379204,2,0.000000,0.447000
1790053275.949513,2,0.000000,0.447000
1790053276.586861,2,0.000000,0.447000
1790053277.214135,3,0.000000,0.447000
1790053277.772217,3,0.000000,0.447000
1790053278.393865,3,0.000000,0.447000
1790053279.008902,3,0.000000,0.447000
1790053279.644830,3,0.000000,0.447000
1790053280.248807,3,0.000000,0.447000
1790053280.836226,3,0.000000,0.447000
1790053281.460624,3,0.000000,0.447000
1790053281.974463,3,0.000000,0.447000
1790053282.422972,3,0.000000,0.447000
1790053282.702537,3,0.000000,0.447000
1790053283.032595,3,0.000000,0.447000
1790053283.367229,3,0.000000,0.447000
1790053283.699270,3,0.000000,0.447000
1790053284.027654,3,0.000000,0.447000
1790053284.348029,3,0.000000,0.447000
1790053284.674474,3,0.000000,0.447000
1790053285.018500,3,0.000000,0.447000
1790053285.354512,3,0.000000,0.447000
1790053285.716055,3,0.000000,0.447000
1790053286.039488,5,0.000000,0.447000
1790053286.352739,5,0.000000,0.447000
1790053286.736079,5,0.000000,0.447000
1790053287.123443,5,0.000000,0.447000
1790053287.464780,5,0.000000,0.447000
1790053287.845940,5,0.000000,0.447000
1790053288.226324,5,0.000000,0.447000
1790053288.589835,5,0.000000,0.447000
1790053288.857897,5,0.000000,0.447000
1790053289.133430,5,0.000000,0.447000
1790053289.365597,5,0.000000,0.447000
1790053289.611373,5,0.000000,0.447000
1790053289.885043,5,0.000000,0.447000
1790053290.133652,5,0.000000,0.447000
1790053290.363941,5,0.000000,0.447000
1790053290.598670,5,0.000000,0.447000
1790053290.850312,5,0.000000,0.447000
1790053291.087462,5,0.000000,0.447000
1790053291.317625,5,0.000000,0.447000
1790053291.572472,5,0.000000,0.447000
1790053291.802401,5,0.000000,0.447000
1790053292.034969,5,0.000000,0.447000
1790053292.272768,5,0.000000,0.447000
1790053292.659601,5,0.000000,0.447000
1790053292.906942,5,0.000000,0.447000
1790053293.138240,5,0.000000,0.447000
1790053293.366742,5,0.000000,0.447000
1790053293.732083,5,0.000000,0.447000
1790053293.963613,5,0.000000,0.447000
1790053294.194846,5,0.000000,0.447000
1790053294.425621,5,0.000000,0.447000
1790053294.659435,5,0.000000,0.447000
1790053294.887026,5,0.000000,0.447000
1790053295.116930,5,0.000000,0.447000
1790053295.350552,5,0.000000,0.447000
1790053295.590598,5,0.000000,0.447000
1790053295.830437,5,0.000000,0.447000
1790053296.062675,5,0.000000,0.447000
1790053296.290453,5,0.000000,0.447000
1790053296.518918,5,0.000000,0.447000
1790053296.745680,5,0.000000,0.447000
1790053296.985607,5,0.000000,0.447000
1790053297.229915,5,0.000000,0.447000
1790053297.461049,5,0.000000,0.447000
1790053297.689395,5,0.000000,0.447000
1790053297.926082,5,0.000000,0.447000
1790053298.154972,5,0.000000,0.447000
1790053298.382779,5,0.000000,0.447000
1790053298.609130,5,0.000000,0.447000
1790053298.838508,5,0.000000,0.447000
1790053299.069933,5,0.000000,0.447000
1790053299.300293,5,0.000000,0.447000
1790053299.526310,5,0.000000,0.447000
1790053299.753628,5,0.000000,0.447000
1790053299.981048,5,0.000000,0.447000
1790053300.212033,5,0.000000,0.447000
1790053300.440293,5,0.000000,0.447000
1790053300.671021,5,0.000000,0.447000
1790053300.901123,5,0.000000,0.447000
1790053301.133381,5,0.000000,0.447000
1790053301.360330,5,0.000000,0.447000
1790053301.609733,5,0.000000,0.447000
1790053301.846264,5,0.000000,0.447000
1790053302.079728,5,0.000000,0.447000
1790053302.307566,5,0.000000,0.447000
1790053302.536508,5,0.000000,0.447000
1790053302.762828,5,0.000000,0.447000
1790053302.993816,5,0.000000,0.447000
1790053303.221296,5,0.000000,0.447000
1790053303.618541,5,0.000000,0.447000
1790053303.846764,5,0.000000,0.447000
1790053304.242661,5,0.000000,0.447000
1790053304.473548,5,0.000000,0.447000
1790053304.726611,5,0.000000,0.447000
1790053304.955159,5,0.000000,0.447000
1790053305.189798,5,0.000000,0.447000
1790053305.432658,5,0.000000,0.447000
1790053305.848298,5,0.000000,0.447000
1790053306.087031,5,0.000000,0.447000
1790053306.336003,5,0.000000,0.447000
1790053306.564297,5,0.000000,0.447000
1790053306.793362,5,0.000000,0.447000
1790053307.019762,5,0.000000,0.447000
1790053307.251973,5,0.000000,0.447000
1790053307.476774,5,0.000000,0.447000
1790053307.704356,5,0.000000,0.447000
1790053307.929531,5,0.000000,0.447000
1790053308.158502,5,0.000000,0.447000
1790053308.386487,5,0.000000,0.447000
1790053308.613800,5,0.000000,0.447000
1790053308.839639,5,0.000000,0.447000
1790053309.068504,5,0.000000,0.447000
1790053309.295568,5,0.000000,0.447000
1790053309.524808,5,0.000000,0.447000
1790053309.751908,5,0.000000,0.447000
1790053309.989795,5,0.000000,0.447000
1790053310.220553,5,0.000000,0.447000
1790053310.449953,5,0.000000,0.447000
1790053310.848104,5,0.000000,0.447000
1790053311.078380,5,0.000000,0.447000
1790053311.305538,5,0.000000,0.447000
1790053311.533101,5,0.000000,0.447000
1790053311.781919,5,0.000000,0.447000
1790053312.014000,5,0.000000,0.447000
1790053312.244802,5,0.000000,0.447000
1790053312.476092,5,0.000000,0.447000
1790053312.704338,5,0.000000,0.447000
1790053312.934972,5,0.000000,0.447000
1790053313.194962,5,0.000000,0.447000
1790053313.510035,5,0.000000,0.447000
1790053313.813236,5,0.000000,0.447000
1790053314.148295,5,0.000000,0.447000
1790053314.469459,5,0.000000,0.447000
1790053314.816104,5,0.000000,0.447000
1790053315.290574,5,0.000000,0.447000
1790053315.739738,5,0.000000,0.447000
1790053316.241714,5,0.000000,0.447000
1790053316.836246,5,0.000000,0.447000
1790053317.264247,5,0.000000,0.447000
1790053317.692242,5,0.000000,0.447000
1790053318.161750,5,0.000000,0.447000
1790053318.504487,5,0.000000,0.447000
1790053318.924091,5,0.000000,0.447000
1790053319.524724,5,0.000000,0.447000
1790053319.907419,5,0.000000,0.447000
1790053320.359230,5,0.000000,0.447000
1790053320.744466,5,0.000000,0.447000
1790053321.267150,5,0.000000,0.447000
1790053321.722749,5,0.000000,0.447000
1790053322.040407,5,0.000000,0.447000
1790053322.500403,5,0.000000,0.447000
1790053322.992320,5,0.000000,0.447000
1790053323.386381,5,0.000000,0.447000
1790053323.922542,5,0.000000,0.447000
1790053324.401895,5,0.000000,0.447000
1790053324.917312,5,0.000000,0.447000
1790053325.405366,5,0.000000,0.447000
1790053325.722412,5,0.000000,0.447000
1790053326.037437,5,0.000000,0.447000
1790053326.361200,5,0.000000,0.447000
1790053326.627123,5,0.000000,0.447000
1790053326.882499,5,0.000000,0.447000
1790053327.126798,5,0.000000,0.447000
1790053327.360535,5,0.000000,0.447000
1790053327.592360,6,0.000000,0.447000
1790053327.825989,1,0.000000,0.447000
1790053328.101960,1,0.000000,0.447000
1790053328.333722,1,0.000000,0.447000
1790053328.564190,1,0.000000,0.447000
1790053328.799981,1,0.000000,0.447000
1790053329.037887,1,0.000000,0.447000
1790053329.275112,1,0.000000,0.447000
1790053329.512271,1,0.000000,0.447000
1790053329.734739,1,0.000000,0.447000
1790053329.966209,2,0.000000,0.447000
1790053330.203268,2,0.000000,0.447000
1790053330.435607,2,0.000000,0.447000
1790053330.667885,2,0.000000,0.447000
1790053330.898873,2,0.000000,0.447000
1790053331.132077,3,0.000000,0.447000
1790053331.361044,3,0.000000,0.447000
1790053331.595392,3,0.000000,0.447000
1790053331.825201,3,0.000000,0.447000
1790053332.071440,3,0.000000,0.447000
1790053332.317414,3,0.000000,0.447000
1790053332.552765,3,0.000000,0.447000
1790053332.789119,3,0.000000,0.447000
1790053333.022310,3,0.000000,0.447000
1790053333.276132,3,0.000000,0.447000
1790053333.562599,3,0.000000,0.447000
1790053333.852600,3,0.000000,0.447000
1790053334.133919,3,0.000000,0.447000
1790053334.404213,3,0.000000,0.447000
1790053334.677501,3,0.000000,0.447000
1790053334.941697,3,0.000000,0.447000
1790053335.193359,3,0.000000,0.447000
1790053335.753606,3,0.000000,0.447000
1790053336.029526,3,0.000000,0.447000
1790053336.336969,3,0.000000,0.447000
1790053336.627134,3,0.000000,0.447000
1790053336.902407,5,0.000000,0.447000
1790053337.197039,5,0.000000,0.447000
1790053337.472012,5,0.000000,0.447000
1790053337.757529,5,0.000000,0.447000
1790053338.024816,5,0.000000,0.447000
1790053338.289373,5,0.000000,0.447000
1790053338.549382,5,0.000000,0.447000
1790053338.810739,5,0.000000,0.447000
1790053339.088099,5,0.000000,0.447000
1790053339.353776,5,0.000000,0.447000
1790053339.633969,5,0.000000,0.447000
1790053339.896583,5,0.000000,0.447000
1790053340.185080,5,0.000000,0.447000
1790053340.476246,5,0.000000,0.447000
1790053340.766444,5,0.000000,0.447000
1790053341.042543,5,0.000000,0.447000
1790053341.312263,5,0.000000,0.447000
1790053341.595297,5,0.000000,0.447000
1790053341.860125,5,0.000000,0.447000
1790053342.137420,5,0.000000,0.447000
1790053342.432744,5,0.000000,0.447000
1790053342.712019,5,0.000000,0.447000
1790053343.017791,5,0.000000,0.447000
1790053343.299635,5,0.000000,0.447000
1790053343.579304,5,0.000000,0.447000
1790053343.853006,5,0.000000,0.447000
1790053344.146498,5,0.000000,0.447000
1790053344.429423,5,0.000000,0.447000
1790053344.717300,5,0.000000,0.447000
1790053344.976876,5,0.000000,0.447000
1790053345.252267,5,0.000000,0.447000
1790053345.526814,5,0.000000,0.447000
1790053345.800018,5,0.000000,0.447000
1790053346.054835,5,0.000000,0.447000
1790053346.290309,5,0.000000,0.447000
1790053346.549058,5,0.000000,0.447000
1790053346.802755,5,0.000000,0.447000
1790053347.069515,5,0.000000,0.447000
1790053347.350344,5,0.000000,0.447000
1790053347.619847,5,0.000000,0.447000
1790053347.889139,5,0.000000,0.447000
1790053348.193409,5,0.000000,0.447000
1790053348.512552,5,0.000000,0.447000
1790053348.786890,5,0.000000,0.447000
1790053349.052417,5,0.000000,0.447000
1790053349.374320,5,0.000000,0.447000
1790053349.778853,5,0.000000,0.447000
